employee_id,department,location,level,manager_id,tenure_years,role_family,annual_salary_usd,attrition_flag,attrition_risk_score,risk_band,sentiment_score,sentiment_band,survey_response_count,sentiment_source,engagement_index,engagement_band,manager_sentiment_avg,team_size,data_provenance,confidence_note
EMP_00001,Marketing,US,Junior,MGR_032,1.4,Commercial,73521,0,0.156,Low,0.227,Positive,2,synthetic_demo,80,High,0.035,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00002,Sales,India,Senior,MGR_095,0.1,Operations,177893,0,0.195,Low,0.354,Positive,4,synthetic_demo,64,Medium,-0.018,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00003,Finance,US,Mid,MGR_004,2.8,Tech,76974,1,0.238,Low,-0.318,Negative,5,synthetic_demo,37,Low,-0.036,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00004,Engineering,India,Junior,MGR_004,8.9,Operations,73968,1,0.214,Low,0.131,Neutral,4,synthetic_demo,57,Medium,-0.036,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00005,Finance,India,Senior,MGR_070,7.2,Operations,128114,0,0.198,Low,-0.443,Negative,9,synthetic_demo,59,Medium,-0.024,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00006,HR,India,Mid,MGR_001,5.3,Commercial,87837,1,0.197,Low,-0.554,Negative,5,synthetic_demo,49,Medium,-0.046,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00007,Sales,Singapore,Mid,MGR_020,5.1,Commercial,105342,0,0.079,Low,0.313,Positive,4,synthetic_demo,75,High,-0.02,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00008,Sales,UK,Junior,MGR_013,1.2,Commercial,66888,1,0.231,Low,-0.065,Neutral,8,synthetic_demo,66,Medium,0.007,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00009,Operations,UK,Mid,MGR_094,0.3,Tech,71571,0,0.265,Low,-0.497,Negative,6,synthetic_demo,58,Medium,-0.145,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00010,HR,Poland,Junior,MGR_011,5.0,Commercial,64002,0,0.226,Low,-0.176,Neutral,6,synthetic_demo,58,Medium,-0.022,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00011,Finance,UK,Senior,MGR_047,1.7,Operations,167261,0,0.345,Low,-0.929,Negative,5,synthetic_demo,40,Medium,-0.041,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00012,Finance,India,Senior,MGR_085,9.8,Tech,127624,0,0.119,Low,0.491,Positive,4,synthetic_demo,53,Medium,-0.058,9,synthetic_demo_v2,Simulated for demonstration purposes only
