employee_id,location,attrition_flag,attrition_risk_score,sentiment_score,sentiment_band,engagement_score,manager_effectiveness
EMP0001,Austin,Stayed,15,0.82,Positive,4.5,4.1
EMP0002,Remote,Stayed,57,0.56,Neutral,2.6,2.7
EMP0003,San Francisco,Stayed,15,0.88,Positive,4.4,5.0
EMP0004,Remote,Stayed,43,0.66,Neutral,3.4,2.8
EMP0005,Remote,Stayed,52,0.66,Neutral,3.4,2.9
EMP0006,London,Left,94,0.29,Negative,1.4,1.5
EMP0007,San Francisco,Stayed,61,0.45,Negative,2.2,2.7
EMP0008,San Francisco,Stayed,24,0.82,Positive,4.2,3.9
EMP0009,San Francisco,Stayed,46,0.66,Neutral,3.5,2.8
EMP0010,Remote,Stayed,44,0.57,Neutral,3.3,3.5
EMP0011,Austin,Stayed,22,0.8,Positive,4.2,4.4
EMP0012,San Francisco,Stayed,11,0.83,Positive,4.3,5.0
EMP0013,Remote,Stayed,55,0.5,Neutral,2.5,2.7
EMP0014,London,Stayed,54,0.66,Neutral,2.8,3.2
EMP0015,Austin,Stayed,64,0.45,Neutral,2.4,2.3
EMP0016,London,Stayed,19,0.6,Neutral,3.3,4.2
EMP0017,Austin,Stayed,29,0.76,Positive,4.0,3.8
EMP0018,Remote,Stayed,2,0.98,Positive,4.9,4.6
EMP0019,New York,Stayed,60,0.47,Neutral,2.2,2.9
EMP0020,Austin,At-Risk,76,0.47,Neutral,2.2,1.6
EMP0021,London,At-Risk,78,0.41,Negative,1.8,1.1
EMP0022,Remote,Stayed,55,0.61,Neutral,2.8,2.8
EMP0023,Austin,Stayed,54,0.53,Neutral,2.7,2.7
EMP0024,New York,Stayed,3,1.0,Positive,4.7,4.6
EMP0025,New York,Stayed,52,0.53,Neutral,2.7,3.1
EMP0026,San Francisco,Stayed,49,0.57,Neutral,2.8,2.5
EMP0027,San Francisco,Stayed,18,0.92,Positive,4.3,4.3
EMP0028,London,At-Risk,70,0.5,Neutral,2.3,2.2
EMP0029,Austin,Stayed,21,0.75,Positive,4.3,4.0
EMP0030,Austin,At-Risk,74,0.44,Negative,2.2,2.2
EMP0031,San Francisco,Stayed,40,0.74,Neutral,3.5,3.8
EMP0032,Austin,Stayed,63,0.35,Negative,2.1,2.9
EMP0033,Austin,At-Risk,73,0.48,Neutral,2.2,2.4
EMP0034,New York,Stayed,16,0.96,Positive,4.7,3.7
EMP0035,San Francisco,Stayed,61,0.54,Neutral,2.4,2.4
EMP0036,Remote,Stayed,32,0.68,Neutral,3.6,3.6
EMP0037,San Francisco,Stayed,41,0.7,Neutral,3.2,3.6
EMP0038,Remote,Stayed,53,0.62,Neutral,3.0,3.1
EMP0039,New York,Stayed,4,1.0,Positive,4.7,5.0
EMP0040,London,Left,93,0.35,Negative,1.1,1.2
EMP0041,Austin,Stayed,26,0.88,Positive,4.0,4.6
EMP0042,New York,Stayed,0,1.0,Positive,4.9,4.7
EMP0043,Austin,Stayed,29,0.85,Positive,3.7,3.7
EMP0044,London,Stayed,30,0.79,Positive,3.8,4.1
EMP0045,London,Left,100,0.19,Negative,1.2,1.0
EMP0046,New York,Stayed,49,0.65,Neutral,3.3,2.9
EMP0047,London,Left,84,0.39,Negative,1.8,1.5
EMP0048,Remote,Stayed,21,0.88,Positive,4.2,3.9
EMP0049,London,Stayed,27,0.73,Neutral,3.9,4.2
EMP0050,Austin,Stayed,63,0.5,Neutral,2.8,2.0
EMP0051,Austin,Stayed,28,0.78,Positive,4.0,3.3
EMP0052,Austin,Stayed,51,0.55,Neutral,2.6,3.3
EMP0053,Austin,Stayed,31,0.77,Positive,3.7,3.4
EMP0054,Remote,Stayed,39,0.69,Neutral,3.4,3.5
EMP0055,San Francisco,Stayed,8,0.94,Positive,4.9,4.3
EMP0056,New York,Stayed,37,0.85,Positive,3.8,3.9
EMP0057,Austin,Stayed,48,0.56,Neutral,3.0,2.8
EMP0058,London,Left,93,0.33,Negative,1.3,1.0
EMP0059,Austin,Stayed,64,0.53,Neutral,2.5,3.0
EMP0060,London,Left,87,0.4,Negative,1.7,2.1
EMP0061,London,Left,83,0.33,Negative,1.8,1.7
EMP0062,Austin,Stayed,5,0.9,Positive,4.6,5.0
EMP0063,Remote,Stayed,22,0.74,Neutral,3.7,4.4
EMP0064,London,Stayed,48,0.49,Neutral,2.6,2.9
EMP0065,London,Left,84,0.28,Negative,1.3,1.5
EMP0066,Austin,Stayed,10,1.0,Positive,4.6,4.7
EMP0067,London,Stayed,42,0.57,Neutral,3.2,3.4
EMP0068,London,Left,99,0.21,Negative,1.2,1.1
EMP0069,Austin,Stayed,22,0.79,Positive,4.1,4.0
EMP0070,Austin,Stayed,28,0.72,Neutral,3.6,3.8
EMP0071,New York,At-Risk,72,0.44,Negative,2.2,2.1
EMP0072,Remote,Stayed,54,0.71,Neutral,3.4,3.2
EMP0073,Remote,Stayed,37,0.69,Neutral,3.5,3.5
EMP0074,London,Left,83,0.31,Negative,1.5,2.0
EMP0075,Remote,Stayed,12,0.99,Positive,4.8,4.4
EMP0076,London,Stayed,30,0.72,Neutral,3.5,3.9
EMP0077,New York,Stayed,28,0.84,Positive,4.0,4.3
EMP0078,Austin,Stayed,29,0.67,Neutral,3.4,3.7
EMP0079,Austin,Stayed,45,0.73,Neutral,3.2,2.9
EMP0080,Austin,Stayed,31,0.92,Positive,4.0,3.3
EMP0081,Remote,Stayed,32,0.76,Positive,3.6,3.9
EMP0082,New York,Stayed,59,0.45,Negative,2.2,2.3
EMP0083,Remote,Stayed,39,0.74,Neutral,3.5,3.9
EMP0084,Remote,Stayed,19,0.83,Positive,4.4,4.1
EMP0085,New York,Stayed,43,0.68,Neutral,3.4,3.7
EMP0086,New York,At-Risk,74,0.39,Negative,2.2,2.6
EMP0087,New York,Stayed,12,0.9,Positive,4.4,4.3
EMP0088,New York,Stayed,45,0.48,Neutral,2.6,2.8
EMP0089,Austin,Stayed,59,0.54,Neutral,2.8,2.9
EMP0090,San Francisco,Stayed,64,0.41,Negative,2.5,2.2
EMP0091,San Francisco,Stayed,42,0.54,Neutral,3.0,3.2
EMP0092,New York,Stayed,14,0.87,Positive,4.3,4.9
EMP0093,San Francisco,Stayed,48,0.67,Neutral,3.6,3.6
EMP0094,San Francisco,Stayed,64,0.58,Neutral,2.6,2.0
EMP0095,New York,Stayed,16,0.88,Positive,4.6,4.4
EMP0096,San Francisco,Stayed,11,0.95,Positive,4.6,3.9
EMP0097,Remote,Stayed,0,0.88,Positive,4.6,5.0
EMP0098,London,Left,83,0.36,Negative,1.7,2.0
EMP0099,London,At-Risk,70,0.39,Negative,2.4,2.2
EMP0100,New York,Stayed,4,0.97,Positive,5.0,4.4
EMP0101,Austin,Stayed,28,0.82,Positive,4.3,4.0
EMP0102,New York,At-Risk,66,0.46,Neutral,2.1,1.8
EMP0103,Austin,Stayed,63,0.46,Neutral,2.2,2.2
EMP0104,London,Stayed,62,0.42,Negative,2.4,2.4
EMP0105,New York,Stayed,2,0.94,Positive,4.7,5.0
EMP0106,Remote,Stayed,44,0.68,Neutral,3.6,3.3
EMP0107,San Francisco,Stayed,43,0.75,Neutral,3.5,2.9
EMP0108,Austin,At-Risk,70,0.53,Neutral,2.3,1.9
EMP0109,San Francisco,Stayed,19,0.72,Neutral,4.0,4.0
EMP0110,San Francisco,Stayed,21,0.93,Positive,4.5,4.2
EMP0111,New York,Stayed,41,0.59,Neutral,3.1,3.0
EMP0112,San Francisco,Stayed,12,0.85,Positive,4.3,4.1
EMP0113,Remote,Stayed,0,0.98,Positive,4.9,5.0
EMP0114,San Francisco,Stayed,62,0.61,Neutral,2.6,2.4
EMP0115,New York,Stayed,33,0.66,Neutral,3.6,3.4
EMP0116,Remote,Stayed,54,0.61,Neutral,2.9,3.1
EMP0117,London,Stayed,41,0.62,Neutral,3.4,3.2
EMP0118,San Francisco,Stayed,35,0.68,Neutral,3.7,3.9
EMP0119,New York,Stayed,28,0.78,Positive,3.9,4.0
EMP0120,London,Stayed,48,0.68,Neutral,3.4,3.5
EMP0121,London,At-Risk,72,0.3,Negative,2.2,1.7
EMP0122,Austin,Stayed,8,1.0,Positive,4.7,5.0
EMP0123,Remote,Stayed,17,0.61,Neutral,3.6,4.5
EMP0124,San Francisco,At-Risk,77,0.49,Neutral,2.5,2.5
EMP0125,New York,Stayed,30,0.88,Positive,4.1,3.7
EMP0126,Austin,Stayed,13,0.99,Positive,4.4,4.4
EMP0127,Remote,Stayed,45,0.57,Neutral,3.0,3.3
EMP0128,Austin,Stayed,11,0.84,Positive,4.6,4.3
EMP0129,Remote,Stayed,16,1.0,Positive,4.7,4.7
EMP0130,Remote,Stayed,57,0.61,Neutral,2.8,3.0
EMP0131,San Francisco,Stayed,0,0.97,Positive,5.0,5.0
EMP0132,Remote,Stayed,55,0.45,Neutral,2.4,2.7
EMP0133,Austin,Stayed,62,0.49,Neutral,2.6,2.9
EMP0134,Remote,At-Risk,67,0.49,Neutral,2.6,2.4
EMP0135,San Francisco,Stayed,9,0.95,Positive,4.7,4.8
EMP0136,San Francisco,Stayed,28,0.76,Positive,4.0,3.7
EMP0137,Austin,Stayed,58,0.47,Neutral,2.5,2.8
EMP0138,London,At-Risk,70,0.5,Neutral,2.3,2.8
EMP0139,London,Stayed,60,0.5,Neutral,2.8,3.1
EMP0140,Remote,At-Risk,73,0.43,Negative,2.3,2.1
EMP0141,New York,Stayed,14,0.85,Positive,4.6,4.6
EMP0142,Remote,Stayed,10,0.89,Positive,4.4,5.0
EMP0143,Austin,Stayed,31,0.61,Neutral,3.5,3.4
EMP0144,Austin,Stayed,0,1.0,Positive,4.9,5.0
EMP0145,Austin,Stayed,48,0.58,Neutral,3.3,3.4
EMP0146,Austin,Stayed,8,0.9,Positive,5.0,4.8
EMP0147,Austin,Stayed,35,0.78,Positive,4.0,3.5
EMP0148,San Francisco,Stayed,28,0.87,Positive,3.9,4.0
EMP0149,London,Left,92,0.34,Negative,1.5,1.5
EMP0150,Austin,Stayed,5,0.83,Positive,4.6,5.0
EMP0151,New York,Stayed,49,0.59,Neutral,3.3,2.9
EMP0152,New York,Stayed,52,0.48,Neutral,2.5,3.4
